,condition,model_year,make,model,trim_level,list_price,exterior_color,interior_color,fwd_or_awd,hybrid_or_eco,mileage,dealer_address,date_parsed,url,data_source_name
265,USED,2022,FORD,MAVERICK,XLT,34441,Blue,Navy Pier,Front-wheel Drive,Gasoline,2224,"10909 North Florida Avenue Tampa, FL 33612",2023-06-04,http://cars.com///vehicledetail/0c61caf1-7ae0-4a6a-a8fc-6049ca1a0f4f/,cars.com
266,USED,2022,FORD,MAVERICK,XL,28498,Oxford White,Black Onyx,Front-wheel Drive,Hybrid,3367,"1207 E Brandon Blvd Brandon, FL 33511",2023-06-04,http://cars.com///vehicledetail/9dd8c333-5fd4-4746-89e0-0f580d113e66/,cars.com
267,USED,2023,FORD,MAVERICK,LARIAT,0,WH,Desert Brown,All-wheel Drive,Gasoline,1679,"3923 Route 104 Williamson, NY 14589",2023-06-04,http://cars.com///vehicledetail/9b799cbf-7e69-412e-bb08-5cd31b85649f/,cars.com
268,USED,2022,FORD,MAVERICK,LARIAT,42997,Cactus,Desert,All-wheel Drive,Gasoline,13866,"2630 Pelham Parkway Pelham, AL 35124",2023-06-04,http://cars.com///vehicledetail/238dce44-5f00-463f-a6b1-3dfaceac0084/,cars.com
269,USED,2022,FORD,MAVERICK,LARIAT,43000,Blue,Desert,All-wheel Drive,Gasoline,4955,"22110 W.S.R. 51 Genoa, OH 43430",2023-06-04,http://cars.com///vehicledetail/3f2d9d96-958d-4991-8082-2a9966a08819/,cars.com
270,USED,2023,FORD,MAVERICK,XL,33349,Oxford White,–,Front-wheel Drive,Hybrid,250,"9740 Adamo Dr Tampa, FL 33619",2023-06-04,http://cars.com///vehicledetail/d40a32a5-9c89-4c8d-bdca-f2fc5ef773d8/,cars.com
271,USED,2023,FORD,MAVERICK,XL,33499,Cactus,–,Front-wheel Drive,Hybrid,230,"9740 Adamo Dr Tampa, FL 33619",2023-06-04,http://cars.com///vehicledetail/fc8da2ce-303c-4b79-97de-d120e1f18544/,cars.com
272,USED,2022,FORD,MAVERICK,LARIAT,34988,Blue,–,Front-wheel Drive,Hybrid,35249,"9751 Adamo Dr Tampa, FL 33619",2023-06-04,http://cars.com///vehicledetail/66bbb4f7-d29e-499c-8a7c-3ff9ca9c11bf/,cars.com
273,USED,2022,FORD,MAVERICK,XL,33495,Gray,–,All-wheel Drive,Gasoline,3680,"9090 E Adamo Dr Tampa, FL 33619",2023-06-04,http://cars.com///vehicledetail/191615b5-d824-47cf-b794-23940bf40172/,cars.com
274,USED,2023,FORD,MAVERICK,XLT,37995,Shadow Black,Navy Pier,All-wheel Drive,Gasoline,84,"9090 E Adamo Dr Tampa, FL 33619",2023-06-04,http://cars.com///vehicledetail/9a3c252b-8f17-4664-b20f-9eafdcaa3e3a/,cars.com
275,USED,2022,FORD,MAVERICK,XL,33988,Velocity Blue Metallic,Black Onyx/Medium Dark Slate,Front-wheel Drive,Gasoline,19342,"309 US Route 11 Central Square, NY 13036",2023-06-04,http://cars.com///vehicledetail/148e6619-ee01-4162-b77c-6e78141b43a6/,cars.com
276,USED,2022,FORD,MAVERICK,XLT,39995,Shadow Black,Navy Pier,All-wheel Drive,Gasoline,17738,"1405 S Main Street Medina, NY 14103",2023-06-04,http://cars.com///vehicledetail/660b35d4-76db-401b-9546-d4daef2b6433/,cars.com
277,USED,2023,FORD,MAVERICK,XLT,36599,Cyber Orange Metallic Tricoat,Black Onyx,All-wheel Drive,Gasoline,500,"5815 N Dale Mabry Hwy Tampa, FL 33614",2023-06-04,http://cars.com///vehicledetail/c5bcaf88-2df3-4454-b6fd-c763dd7c59ae/,cars.com
278,CERTIFIED,2022,FORD,MAVERICK,XLT,38900,ICONIC SILVER METALLIC,NAVY PIER -MED SLATE TRIM,–,–,16937,"3004 East Avenue, Rt 49 Central Square, NY 13036",2023-06-04,http://cars.com///vehicledetail/a6dc22a9-6a17-42c7-9715-952f218fb3b4/,cars.com
279,USED,2022,FORD,MAVERICK,XLT,36899,Blue,Navy Pier/Medium Slate,All-wheel Drive,Gasoline,11650,"45 Washington St Foxboro, MA 02035",2023-06-04,http://cars.com///vehicledetail/62f3234c-c654-4b46-ba63-4711ff5cfd6f/,cars.com
280,USED,2022,FORD,MAVERICK,XL,30995,Oxford White,Black Onyx,Front-wheel Drive,Gasoline,38032,"10730 Hubler Drive Taylorsville, IN 47280",2023-06-04,http://cars.com///vehicledetail/3d78d6b4-8f7c-444a-b7ec-3bd7b1f355b0/,cars.com
281,USED,2023,FORD,MAVERICK,XLT,38980,Alto Blue Metallic Tinted Clearcoat,Navy Pier,All-wheel Drive,Gasoline,180,"88 Turnpike Road Westboro, MA 01581",2023-06-04,http://cars.com///vehicledetail/6f055fad-89cf-4ab6-9828-3be43fec06e2/,cars.com
282,USED,2022,FORD,MAVERICK,XLT,32590,White,Navy Pier,All-wheel Drive,Gasoline,34780,"135 Belmont St Easton, MA 02375",2023-06-04,http://cars.com///vehicledetail/94fc6abf-a7f5-4943-9071-eadf9f54a5a6/,cars.com
283,USED,2022,FORD,MAVERICK,XLT,35777,Cactus,Navy Pier,All-wheel Drive,Gasoline,29,"27758 US Hwy 19 N Clearwater, FL 33763",2023-06-04,http://cars.com///vehicledetail/9ec990fe-1638-46f3-b7ee-0df7c08eec64/,cars.com
284,USED,2022,FORD,MAVERICK,XL,34999,Green,–,All-wheel Drive,Gasoline,11001,"756 W Ervin Rd Van Wert, OH 45891",2023-06-04,http://cars.com///vehicledetail/617ee34a-b7cd-4d24-aeda-b6a8c6339a9a/,cars.com
285,USED,2022,FORD,MAVERICK,LARIAT,38977,Carbonized Gray,Desert Brown,All-wheel Drive,Gasoline,8252,"428 Maple St Marlboro, MA 01752",2023-06-04,http://cars.com///vehicledetail/5eeb4b0f-71d2-4ceb-a929-d5152939e15c/,cars.com
