,condition,model_year,make,model,trim_level,list_price,exterior_color,interior_color,fwd_or_awd,hybrid_or_eco,mileage,dealer_address,date_parsed,url,data_source_name
680,USED,2022,FORD,MAVERICK,XLT,35293,Area 51,Navy Pier/Medium Slate,Front-wheel Drive,Gasoline,20888,"4480 Chino Hills Pkwy Chino, CA 91710",2023-05-17,http://cars.com///vehicledetail/23dd88fb-7b73-4a44-b547-130141866b85/,cars.com
681,USED,2022,FORD,MAVERICK,XLT,36998,Gray,Gray,All-wheel Drive,Gasoline,792,"9501 Research Dr Irvine, CA 92618",2023-05-17,http://cars.com///vehicledetail/067bf66c-e950-4b36-b697-c86d099c83ea/,cars.com
682,CERTIFIED,2022,FORD,MAVERICK,LARIAT,42000,Carbonized Gray Metallic,Desert,All-wheel Drive,Gasoline,14605,"1225 N Autoplex Way Pasco, WA 99301",2023-05-17,http://cars.com///vehicledetail/7a519f88-5c9a-40f7-b872-35bcc336a210/,cars.com
683,USED,2023,FORD,MAVERICK,LARIAT,42901,Hot Pepper Red Metallic Tinted Clearcoat,Desert,Front-wheel Drive,Hybrid,1570,"2550 N Tustin St Orange, CA 92865",2023-05-17,http://cars.com///vehicledetail/06d859af-1cd1-445e-9407-8312cc447a77/,cars.com
684,USED,2022,FORD,MAVERICK,XLT,41900,Blue,Navy Pier,Front-wheel Drive,Hybrid,5957,"2550 N Tustin St Orange, CA 92865",2023-05-17,http://cars.com///vehicledetail/d0ecb204-c108-40d0-94a5-2109a6ec9c7b/,cars.com
685,USED,2023,FORD,MAVERICK,XLT,37812,Cactus Green / Gray,Navy Pier,Front-wheel Drive,Hybrid,1265,"17340 Gale Avenue City of Industry, CA 91748",2023-05-17,http://cars.com///vehicledetail/c5889241-154f-4a16-b440-c7fb295a73cb/,cars.com
686,USED,2023,FORD,MAVERICK,XLT,37852,Carbonized Gray Metallic,Navy Pier,Front-wheel Drive,Hybrid,1083,"17340 Gale Avenue City of Industry, CA 91748",2023-05-17,http://cars.com///vehicledetail/de053f8a-decf-424d-9ff9-2a53aebb8c2e/,cars.com
687,USED,2023,FORD,MAVERICK,XLT,38741,Shadow Black,Black Onyx,Front-wheel Drive,Hybrid,3436,"17340 Gale Avenue City of Industry, CA 91748",2023-05-17,http://cars.com///vehicledetail/596e86c8-574e-4ab5-b32d-47ce7ccd1bfc/,cars.com
688,USED,2022,FORD,MAVERICK,XL,31998,Black,Black,Front-wheel Drive,Hybrid,13102,"405 W. Technology Dr Palmdale, CA 93551",2023-05-17,http://cars.com///vehicledetail/c6037883-660b-4dd5-ae55-abfcdc108fcb/,cars.com
689,USED,2022,FORD,MAVERICK,XL,33998,Black,Black Onyx,All-wheel Drive,Gasoline,13004,"1915 N 1st St Hermiston, OR 97838",2023-05-17,http://cars.com///vehicledetail/2db0afe1-3817-4c72-aef1-ef2a7ca07d93/,cars.com
690,USED,2022,FORD,MAVERICK,LARIAT,37998,Blue,Brown,Front-wheel Drive,Gasoline,12792,"3200 Harbor Blvd Costa Mesa, CA 92626",2023-05-17,http://cars.com///vehicledetail/62726f47-beb8-4971-9c23-e46d7f2ff649/,cars.com
691,USED,2023,FORD,MAVERICK,XLT,38998,Gray,Gray,Front-wheel Drive,Hybrid,10155,"3200 Harbor Blvd Costa Mesa, CA 92626",2023-05-17,http://cars.com///vehicledetail/c246347c-82a2-4c05-b295-49f38ddd977f/,cars.com
692,CERTIFIED,2022,FORD,MAVERICK,XLT,34250,CACTUS GREY,NAVY PIER -MED SLATE TRIM,–,–,18494,"6211 Beach Blvd Buena Park, CA 90621",2023-05-17,http://cars.com///vehicledetail/d2d2acc4-ce57-419a-9a55-f2fda287be81/,cars.com
693,USED,2023,FORD,MAVERICK,XLT,41900,Red,Blue,Front-wheel Drive,CVT Transmission,22,"Rod from Cypress, CA 90630",2023-05-17,http://cars.com///vehicledetail/096ce764-d94c-461e-8e19-8ad9a044bcc6/,cars.com
694,USED,2022,FORD,MAVERICK,LARIAT,39988,White,Brown,All-wheel Drive,Gasoline,1222,"2747 Via Campo Montebello, CA 90640",2023-05-17,http://cars.com///vehicledetail/d11ded3d-87cb-4fa2-9cd0-e87f61ef23b2/,cars.com
695,USED,2022,FORD,MAVERICK,XLT,35988,Carbonized Gray Metallic,Navy Pier,Front-wheel Drive,Gasoline,3461,"2747 Via Campo Montebello, CA 90640",2023-05-17,http://cars.com///vehicledetail/67ea4d48-b846-4106-a05b-abecd4772a48/,cars.com
696,USED,2022,FORD,MAVERICK,XL,31900,Blue,Gray,Front-wheel Drive,CVT Transmission,8500,"Heath from Moses Lake, WA 98837",2023-05-17,http://cars.com///vehicledetail/1f2bc692-565d-47b2-b8de-f415602c144e/,cars.com
698,USED,2023,FORD,MAVERICK,FOR,,Blue,–,Front-wheel Drive,Hybrid,60,"8625 Artesia Blvd. Bellflower, CA 90706",2023-05-17,http://cars.com///vehicledetail/8cd76a34-5ae8-417d-a667-1ce5805641d8/,cars.com
699,USED,2023,FORD,MAVERICK,LARIAT,42500,White,Brown,All-wheel Drive,A/T,127,"ryan from Long Beach, CA 90805",2023-05-17,http://cars.com///vehicledetail/bae63fd1-9a83-46e3-a117-72c9eff17b9b/,cars.com
700,USED,2023,FORD,MAVERICK,XLT,38799,Cactus Green / Gray,Navy Pier,Front-wheel Drive,Hybrid,95,"1929 South Figueroa Street Los Angeles, CA 90007",2023-05-17,http://cars.com///vehicledetail/9374cb0f-16c1-4517-afd2-691158266bcc/,cars.com
701,USED,2023,FORD,MAVERICK,XL,36988,Cactus Green / Gray,Black Onyx,Front-wheel Drive,Hybrid,2077,"1929 South Figueroa Street Los Angeles, CA 90007",2023-05-17,http://cars.com///vehicledetail/d2bfb730-f4ea-49db-a87f-c6e135125270/,cars.com
702,USED,2023,FORD,MAVERICK,XL,32500,Blue,Gray,Front-wheel Drive,8-Speed A/T,390,"Craig from Santa Clarita, CA 91350",2023-05-17,http://cars.com///vehicledetail/7f8b492c-cdc5-4208-8fb0-d27317e92c14/,cars.com
703,CERTIFIED,2022,FORD,MAVERICK,XL,37695,Iconic Silver Metallic,Black Onyx,Front-wheel Drive,Gasoline,6268,"15445 Roscoe Blvd North Hills, CA 91343",2023-05-17,http://cars.com///vehicledetail/2f2c2027-8150-42be-9913-8d70d29df665/,cars.com
704,CERTIFIED,2022,FORD,MAVERICK,XLT,35000,Area 51,Navy Pier,Front-wheel Drive,Gasoline,21340,"15445 Roscoe Blvd North Hills, CA 91343",2023-05-17,http://cars.com///vehicledetail/97b471c8-71a0-408f-a165-e9404c44e877/,cars.com
705,USED,2023,FORD,MAVERICK,XL,40690,Atlas Blue Metallic,Black Onyx,All-wheel Drive,Gasoline,51,"15445 Roscoe Blvd North Hills, CA 91343",2023-05-17,http://cars.com///vehicledetail/74172c23-b93a-4b76-a0e4-9a6d9df8a4a9/,cars.com
706,USED,2023,FORD,MAVERICK,XL,40690,Atlas Blue Metallic,Black Onyx,All-wheel Drive,Gasoline,59,"15445 Roscoe Blvd North Hills, CA 91343",2023-05-17,http://cars.com///vehicledetail/03a0c82f-5d76-4425-984a-46143df986b5/,cars.com
707,USED,2023,FORD,MAVERICK,XLT,42000,Area 51,Navy Pier,Front-wheel Drive,Hybrid,67,"15445 Roscoe Blvd North Hills, CA 91343",2023-05-17,http://cars.com///vehicledetail/dc2e2f47-eba3-479b-b2ec-a1f83a990384/,cars.com
708,USED,2022,FORD,MAVERICK,XLT,34500,Area 51,Navy Pier,Front-wheel Drive,Gasoline,35415,"16161 Raymer St Van Nuys, CA 91406",2023-05-17,http://cars.com///vehicledetail/68f2a28e-7085-470d-9fe3-e97f02b976b2/,cars.com
709,USED,2023,FORD,MAVERICK,XLT,38991,Shadow Black,Navy Pier,Front-wheel Drive,Hybrid,5811,"23920 Creekside Rd Santa Clarita, CA 91355",2023-05-17,http://cars.com///vehicledetail/d83d5a49-28e1-45b9-8770-941382c3a010/,cars.com
710,USED,2023,FORD,MAVERICK,XLT,41989,Carbonized Gray Metallic,Navy Pier,All-wheel Drive,Gasoline,1333,"3600 Kietzke Ln Reno, NV 89502",2023-05-17,http://cars.com///vehicledetail/5080a713-6309-4f59-b125-2916fa71a785/,cars.com
711,CERTIFIED,2022,FORD,MAVERICK,SUPERC,34320,SHADOW BLACK,BLACK ONYX-MED DK SLATE TRI,–,–,11558,"2001 Oak St Bakersfield, CA 93301",2023-05-17,http://cars.com///vehicledetail/851b18a6-0af9-4966-8223-cad0d2adb2b2/,cars.com
712,USED,2023,FORD,MAVERICK,XL,35998,White,Black,AWD,Gasoline,145,"6801 Colony St Bakersfield, CA 93307",2023-05-17,http://cars.com///vehicledetail/bafae839-b7e1-47e7-b22a-39d9fa962c91/,cars.com
713,USED,2022,FORD,MAVERICK,LARIAT,39998,Blue,Brown,Front-wheel Drive,Gasoline,8957,"6801 Colony St Bakersfield, CA 93307",2023-05-17,http://cars.com///vehicledetail/dc97b269-bf41-4cc5-a4b1-0f3569cc727d/,cars.com
714,USED,2023,FORD,MAVERICK,XL,36998,Black,Black,Front-wheel Drive,Hybrid,212,"6801 Colony St Bakersfield, CA 93307",2023-05-17,http://cars.com///vehicledetail/f8711c30-0cb8-44e4-8e58-ba51d6fd6326/,cars.com
715,CERTIFIED,2022,FORD,MAVERICK,XLT,42951,Orange,Navy Pier,Front-wheel Drive,Hybrid,8042,"920 W Shaw Ave Clovis, CA 93612",2023-05-17,http://cars.com///vehicledetail/a382e258-5e6d-4c3c-b1e9-deb8eb37ac80/,cars.com
716,USED,2022,FORD,MAVERICK,LARIAT,43998,Black,Brown,Front-wheel Drive,Hybrid,3829,"7180 N Palm Ave Fresno, CA 93650",2023-05-17,http://cars.com///vehicledetail/5690a767-59b6-4a62-b32c-7c85e13fd6a2/,cars.com
717,USED,2023,FORD,MAVERICK,XL,34998,Blue,Black,FWD,Gasoline,356,"2001 Lockwood St Oxnard, CA 93036",2023-05-17,http://cars.com///vehicledetail/bd2ebbc2-7d68-472d-91e1-7a9d0197215d/,cars.com
718,CERTIFIED,2022,FORD,MAVERICK,XLT,37351,Gray,–,All-wheel Drive,Gasoline,10141,"12755 Folsom Blvd Folsom, CA 95630",2023-05-17,http://cars.com///vehicledetail/076d4543-3474-4eb6-a8cd-43ef1a68fc4a/,cars.com
719,USED,2023,FORD,MAVERICK,LARIAT,38310,Gray,–,All-wheel Drive,Gasoline,336,"12755 Folsom Blvd Folsom, CA 95630",2023-05-17,http://cars.com///vehicledetail/208ce508-6cf1-4ab4-9c1a-360167c0e2d1/,cars.com
720,USED,2023,FORD,MAVERICK,XL,38761,Black,–,Front-wheel Drive,Hybrid,484,"12755 Folsom Blvd Folsom, CA 95630",2023-05-17,http://cars.com///vehicledetail/373cb868-2414-4bfe-a546-afd20251438b/,cars.com
721,USED,2023,FORD,MAVERICK,XLT,39027,Gray,–,Front-wheel Drive,Hybrid,13,"12755 Folsom Blvd Folsom, CA 95630",2023-05-17,http://cars.com///vehicledetail/015cac64-a5bb-4161-92fb-8f01d3635b75/,cars.com
722,USED,2022,FORD,MAVERICK,XLT,38998,Blue,Gray,Front-wheel Drive,Hybrid,8274,"1450 Eureka Rd Roseville, CA 95661",2023-05-17,http://cars.com///vehicledetail/c7f4d01b-71ce-4991-801a-24817b8a1f01/,cars.com
723,USED,2023,FORD,MAVERICK,XLT,39999,Shadow Black,Navy Pier,Front-wheel Drive,Hybrid,113,"700 Automall Drive Roseville, CA 95661",2023-05-17,http://cars.com///vehicledetail/484b0d9c-849b-446c-bde7-6f1ee0a66ad5/,cars.com
724,CERTIFIED,2022,FORD,MAVERICK,XL,33865,Iconic Silver Metallic,Black Onyx,All-wheel Drive,Gasoline,11890,"2401 Oakwood St Paso Robles, CA 93446",2023-05-17,http://cars.com///vehicledetail/bb4ad5f4-b1d6-48b2-adbc-5141400f6027/,cars.com
725,CERTIFIED,2022,FORD,MAVERICK,XLT,43988,Iconic Silver Metallic,Navy Pier,Front-wheel Drive,Hybrid,16591,"4625 Madison Ave Sacramento, CA 95841",2023-05-17,http://cars.com///vehicledetail/59849438-748a-4378-9a32-3b66f72a086f/,cars.com
726,USED,2023,FORD,MAVERICK,XLT,42988,Blue,Navy Pier,Front-wheel Drive,Hybrid,580,"4625 Madison Ave Sacramento, CA 95841",2023-05-17,http://cars.com///vehicledetail/041c8e23-310d-4d5e-961e-d9d4f13cf14b/,cars.com
727,CERTIFIED,2022,FORD,MAVERICK,XL,35988,Area 51,–,All-wheel Drive,Gasoline,9240,"555 N Main St Manteca, CA 95336",2023-05-17,http://cars.com///vehicledetail/aa147907-4759-4de1-a597-7a7fb30bdcd5/,cars.com
728,USED,2023,FORD,MAVERICK,LARIAT,46988,White,–,Front-wheel Drive,Hybrid,60,"555 N Main St Manteca, CA 95336",2023-05-17,http://cars.com///vehicledetail/5c6d090c-01e1-46fc-82ad-739728105eda/,cars.com
729,USED,2023,FORD,MAVERICK,LARIAT,46988,Blue,–,Front-wheel Drive,Hybrid,40,"555 N Main St Manteca, CA 95336",2023-05-17,http://cars.com///vehicledetail/b40de6ac-37b2-4276-978b-5abe66e7d4e7/,cars.com
