,condition,model_year,make,model,trim_level,list_price,exterior_color,interior_color,fwd_or_awd,hybrid_or_eco,mileage,dealer_address,date_parsed,url,data_source_name
15447,USED,2022,FORD,MAVERICK,XLT,34375,Iconic Silver Metallic,Navy Pier/Medium Slate,All-wheel Drive,Gasoline,41504,"1938 Elm Hill Pike Nashville, TN 37210",2023-06-08,http://cars.com///vehicledetail/db281280-d2e2-4850-8530-4a83fdccf370/,cars.com
15448,USED,2022,FORD,MAVERICK,LARIAT,42910,Shadow Black,Desert,All-wheel Drive,Gasoline,4328,"600 Connecticut Blvd East Hartford, CT 06108",2023-06-08,http://cars.com///vehicledetail/14df55a8-2f89-4122-b0e9-55ebae67b501/,cars.com
15449,USED,2022,FORD,MAVERICK,XLT,36000,Gray,Navy Pier,All-wheel Drive,Gasoline,7939,"600 Connecticut Blvd East Hartford, CT 06108",2023-06-08,http://cars.com///vehicledetail/fe9c9822-85fe-4323-bc54-ed4aab6936e4/,cars.com
15450,USED,2022,FORD,MAVERICK,XLT,34278,Orange,Navy Pier,Front-wheel Drive,Gasoline,3216,"4032 Commerce Pkwy La Grange, KY 40031",2023-06-08,http://cars.com///vehicledetail/8b7ae01b-8443-4623-934b-c2ca60dc3660/,cars.com
15451,USED,2022,FORD,MAVERICK,XL,28498,Oxford White,Black Onyx,Front-wheel Drive,Hybrid,3367,"1207 E Brandon Blvd Brandon, FL 33511",2023-06-08,http://cars.com///vehicledetail/9dd8c333-5fd4-4746-89e0-0f580d113e66/,cars.com
15452,USED,2022,FORD,MAVERICK,XL,33495,Gray,–,All-wheel Drive,Gasoline,3680,"9090 E Adamo Dr Tampa, FL 33619",2023-06-08,http://cars.com///vehicledetail/191615b5-d824-47cf-b794-23940bf40172/,cars.com
15453,USED,2022,FORD,MAVERICK,LARIAT,41977,Blue,Desert,All-wheel Drive,Gasoline,10347,"8 Uxbridge Rd Mendon, MA 01756",2023-06-08,http://cars.com///vehicledetail/7f9bb817-09f0-479f-a994-483cb8236fc5/,cars.com
15454,USED,2022,FORD,MAVERICK,LARIAT,37403,Gray,Desert,All-wheel Drive,Gasoline,5101,"212 Comtide Ct Franklin, TN 37067",2023-06-08,http://cars.com///vehicledetail/afecd1b8-81a9-4ebd-8182-070b471224d5/,cars.com
15455,USED,2022,FORD,MAVERICK,LARIAT,40747,Red,Brown,All-wheel Drive,Gasoline,450,"8 Uxbridge Rd Mendon, MA 01756",2023-06-08,http://cars.com///vehicledetail/559ff5cc-5228-46aa-8c4c-aed26cab75dd/,cars.com
15456,USED,2022,FORD,MAVERICK,XL,30250,Blue,Brown,Front-wheel Drive,CVT Transmission,14500,"Sid from Providence, RI 02908",2023-06-08,http://cars.com///vehicledetail/29959257-ea4c-40a7-88b6-e756d0558bd1/,cars.com
15457,USED,2022,FORD,MAVERICK,XL,32998,Green,Black,Front-wheel Drive,Gasoline,8416,"4075 Mallory Ln Franklin, TN 37067",2023-06-08,http://cars.com///vehicledetail/206d89f5-dd85-44d4-bae1-b28c3b565cbc/,cars.com
15458,USED,2022,FORD,MAVERICK,XLT,35900,Oxford White,Navy Pier,All-wheel Drive,Gasoline,4370,"1129 Murfreesboro Rd. Franklin, TN 37064",2023-06-08,http://cars.com///vehicledetail/1369af07-0f5e-4b77-b8f1-4af7b0503388/,cars.com
15459,USED,2022,FORD,MAVERICK,XLT,35900,Area 51,Navy Pier,Front-wheel Drive,Hybrid,12949,"2002 N Frontage Rd Plant City, FL 33563",2023-06-08,http://cars.com///vehicledetail/15f2435e-92fc-42bb-b842-1cd66830c734/,cars.com
15460,USED,2022,FORD,MAVERICK,XLT,30020,Cactus,Navy Pier,All-wheel Drive,Gasoline,43951,"1425 W Main St Bartow, FL 33830",2023-06-08,http://cars.com///vehicledetail/fd449b54-1bd8-43a6-8984-8555e0f2df23/,cars.com
15461,USED,2023,FORD,MAVERICK,LARIAT,42989,Iconic Silver Metallic,Black Onyx,All-wheel Drive,Gasoline,597,"2000 E Baker St Plant City, FL 33563",2023-06-08,http://cars.com///vehicledetail/cfc22482-2eb4-449a-b7ae-bc36fd3e3ee2/,cars.com
15462,CERTIFIED,2022,FORD,MAVERICK,LARIAT,39910,Area 51,Desert,Front-wheel Drive,Hybrid,12063,"2000 E Baker St Plant City, FL 33563",2023-06-08,http://cars.com///vehicledetail/d4e84a45-6cf8-4a38-927b-a59914e84790/,cars.com
