,condition,model_year,make,model,trim_level,list_price,exterior_color,interior_color,fwd_or_awd,hybrid_or_eco,mileage,dealer_address,date_parsed
135,USED,2023,FORD,MAVERICK,XL,35998,Gray,Black,Front-wheel Drive,Hybrid,2545,"1977 Thornton Rd Lithia Springs, GA 30122",2023-05-11
136,USED,2022,FORD,MAVERICK,XLT,34988,Cactus Green / Gray,Navy Pier,Front-wheel Drive,Gasoline,304,"900 Central Park Avenue Yonkers, NY 10704",2023-05-11
137,USED,2022,FORD,MAVERICK,XL,34000,Gray,Desert,All-wheel Drive,Gasoline,12291,"60 Route 304 Nanuet, NY 10954",2023-05-11
138,USED,2022,FORD,MAVERICK,XL,30895,Oxford White,Black Onyx,All-wheel Drive,Gasoline,18625,"988 South Saint Marys Street Saint Marys, PA 15857",2023-05-11
139,USED,2022,FORD,MAVERICK,XL,35103,Oxford White,Black Onyx,All-wheel Drive,Gasoline,4088,"695 Bullsboro Dr Newnan, GA 30265",2023-05-11
140,USED,2022,FORD,MAVERICK,LARIAT,38998,Black,Brown,All-wheel Drive,Gasoline,12003,"800 N Tomoka Farms Rd Daytona Beach, FL 32124",2023-05-11
141,USED,2022,FORD,MAVERICK,XLT,37262,Shadow Black,Navy Pier/Medium Slate,All-wheel Drive,Gasoline,26306,"215 W Magnolia St Valdosta, GA 31601",2023-05-11
142,USED,2023,FORD,MAVERICK,XLT,36998,Black,Gray,FWD,Gasoline,5957,"2211 Overnite Dr Chattanooga, TN 37421",2023-05-11
143,USED,2022,FORD,MAVERICK,LARIAT,36642,Area 51,Desert,All-wheel Drive,Gasoline,26417,"4325 W US Hwy 90 Lake City, FL 32055",2023-05-11
144,USED,2022,FORD,MAVERICK,XLT,36900,Cactus Green / Gray,Navy Pier,Front-wheel Drive,Hybrid,1607,"2317 State Road 44 New Smyrna Beach, FL 32168",2023-05-11
145,USED,2022,FORD,MAVERICK,LARIAT,40900,Blue,Desert,Front-wheel Drive,Hybrid,10176,"2317 State Road 44 New Smyrna Beach, FL 32168",2023-05-11
146,USED,2022,FORD,MAVERICK,XLT,35650,Oxford White,Navy Pier,Front-wheel Drive,Gasoline,836,"101 Hwy 411 E Rome, GA 30161",2023-05-11
147,USED,2023,FORD,MAVERICK,XLT,38815,Oxford White,Black Onyx,All-wheel Drive,Gasoline,8976,"101 Hwy 411 E Rome, GA 30161",2023-05-11
148,USED,2022,FORD,MAVERICK,XLT,35724,Blue,Navy Pier,All-wheel Drive,Gasoline,9253,"5348 Highway 153 Chattanooga, TN 37343",2023-05-11
149,USED,2023,FORD,MAVERICK,LARIAT,46500,Orange,Desert,All-wheel Drive,Gasoline,12,"5348 Highway 153 Chattanooga, TN 37343",2023-05-11
150,CERTIFIED,2022,FORD,MAVERICK,XL,35000,Shadow Black,Black Onyx,All-wheel Drive,Gasoline,7019,"366 W Main St Canfield, OH 44406",2023-05-11
151,USED,2022,FORD,MAVERICK,FOR,,Oxford White,Black Onyx,All-wheel Drive,Gasoline,548,"454 Golden Mile Road Towanda, PA 18848",2023-05-11
152,USED,2022,FORD,MAVERICK,XLT,35682,Shadow Black,Navy Pier,All-wheel Drive,Gasoline,10391,"4255 S Hamilton Rd Groveport, OH 43125",2023-05-11
153,USED,2022,FORD,MAVERICK,XL,32632,Carbonized Gray Metallic,Black Onyx,All-wheel Drive,Gasoline,15676,"5880 Scarborough Blvd Columbus, OH 43232",2023-05-11
154,USED,2023,FORD,MAVERICK,FOR,,Red,–,Front-wheel Drive,Gasoline,522,"150 U S Highway 27 Byp Bremen, GA 30110",2023-05-11
155,USED,2022,FORD,MAVERICK,XL,31998,Gray,Black,All-wheel Drive,Gasoline,14076,"4185 N Main St Gainesville, FL 32609",2023-05-11
156,USED,2022,FORD,MAVERICK,XLT,33500,Area 51,Navy Pier,Front-wheel Drive,Gasoline,398,"3737 N Main St Gainesville, FL 32609",2023-05-11
157,USED,2023,FORD,MAVERICK,XL,31990,Oxford White,Black Onyx,Front-wheel Drive,Gasoline,114,"310 NE 39th Ave Gainesville, FL 32609",2023-05-11
158,USED,2023,FORD,MAVERICK,XLT,37288,Blue Metallic,–,All-wheel Drive,Gasoline,2007,"200 Gabbard Way Mt Orab, OH 45154",2023-05-11
159,USED,2023,FORD,MAVERICK,XLT,,Cyber Orange Metallic Tricoat,Navy Pier,All-wheel Drive,Gasoline,927,"1024 Route 22 Brewster, NY 10509",2023-05-11
160,USED,2022,FORD,MAVERICK,XLT,37980,Gray Metallic,Black,Front-wheel Drive,Hybrid,14736,"2322 S Woodland Blvd DeLand, FL 32720",2023-05-11
161,USED,2023,FORD,MAVERICK,XL,39980,Cactus Green / Gray,Black,Front-wheel Drive,Hybrid,7337,"2322 S Woodland Blvd DeLand, FL 32720",2023-05-11
162,USED,2022,FORD,MAVERICK,XLT,34495,Oxford White,Navy Pier,Front-wheel Drive,Gasoline,4077,"1800 Morse Rd Columbus, OH 43229",2023-05-11
163,USED,2022,FORD,MAVERICK,XLT,35458,Area 51,Navy Pier,Front-wheel Drive,Hybrid,16314,"5575 Keim Cir Columbus, OH 43228",2023-05-11
164,USED,2022,FORD,MAVERICK,LARIAT,37706,Area 51,Desert,Front-wheel Drive,Gasoline,8120,"5575 Keim Circle Columbus, OH 43228",2023-05-11
165,USED,2022,FORD,MAVERICK,LARIAT,37998,Blue,Brown,Front-wheel Drive,Gasoline,6088,"6463 Veterans Pkwy Columbus, GA 31909",2023-05-11
166,USED,2023,FORD,MAVERICK,LARIAT,35333,Shadow Black,Desert,Front-wheel Drive,Hybrid,2000,"1680 Whittlesey Rd Columbus, GA 31904",2023-05-11
167,USED,2022,FORD,MAVERICK,XL,34950,Area 51,Black Onyx/Medium Dark Slate,Front-wheel Drive,Gasoline,12106,"1182 West Main Street Wilmington, OH 45177",2023-05-11
