,condition,model_year,make,model,trim_level,list_price,exterior_color,interior_color,fwd_or_awd,hybrid_or_eco,mileage,dealer_address,date_parsed
30,USED,2022,FORD,MAVERICK,LARIAT,43700,Area 51,Desert,Front-wheel Drive,Hybrid,7683,"617 N Main St Belmont, NC 28012",2023-05-12
31,USED,2022,FORD,MAVERICK,XLT,41800,Velocity Blue Metallic,Navy Pier,Front-wheel Drive,Hybrid,14930,"617 N Main St Belmont, NC 28012",2023-05-12
32,USED,2022,FORD,MAVERICK,XL,31634,Black,Black Onyx,Front-wheel Drive,Hybrid,28872,"3237 St Matthews Orangeburg, SC 29118",2023-05-12
33,USED,2023,FORD,MAVERICK,LARIAT,39900,Green,Brown,Front-wheel Drive,CVT Transmission,1800,"Erik from West Columbia, SC 29169",2023-05-12
34,CERTIFIED,2022,FORD,MAVERICK,XL,34498,Oxford White,Black Onyx,All-wheel Drive,Gasoline,13918,"1201 W Main St Lexington, SC 29072",2023-05-12
35,USED,2022,FORD,MAVERICK,XLT,30998,Yellow,Gray,Front-wheel Drive,Gasoline,12849,"2350 Research Ct Woodbridge, VA 22192",2023-05-12
36,USED,2022,FORD,MAVERICK,XLT,32500,Shadow Black,Navy Pier,Front-wheel Drive,Gasoline,7617,"13779 Nobelwood Plaza, Woodbridge, VA 22193",2023-05-12
37,USED,2022,FORD,MAVERICK,XL,33853,Carbonized Gray Metallic,Black Onyx,All-wheel Drive,Gasoline,11479,"2455 E Market St Harrisonburg, VA 22801",2023-05-12
38,USED,2022,FORD,MAVERICK,XL,29995,Oxford White,Black Onyx,Front-wheel Drive,Gasoline,180,"7434 Richmond Hwy Alexandria, VA 22306",2023-05-12
39,USED,2022,FORD,MAVERICK,XL,29995,Oxford White,Black Onyx,Front-wheel Drive,Gasoline,180,"7434 Richmond Hwy Alexandria, VA 22306",2023-05-12
40,USED,2022,FORD,MAVERICK,XL,29995,Oxford White,Black Onyx,Front-wheel Drive,Gasoline,180,"7434 Richmond Hwy Alexandria, VA 22306",2023-05-12
41,USED,2022,FORD,MAVERICK,XL,29995,Oxford White,Black Onyx,Front-wheel Drive,Gasoline,180,"7434 Richmond Hwy Alexandria, VA 22306",2023-05-12
42,USED,2022,FORD,MAVERICK,LARIAT,37173,Carbonized Gray Metallic,Desert,Front-wheel Drive,Hybrid,45210,"7434 Richmond Hwy Alexandria, VA 22306",2023-05-12
43,USED,2022,FORD,MAVERICK,XLT,38250,Area 51,–,All-wheel Drive,Gasoline,1703,"101 Malcolm Blvd. Valdese, NC 28690",2023-05-12
44,USED,2022,FORD,MAVERICK,XL,29988,Oxford White,Black Onyx,Front-wheel Drive,Gasoline,153,"6727 Loisdale Rd Springfield, VA 22150",2023-05-12
45,USED,2022,FORD,MAVERICK,XL,29743,Oxford White,Black Onyx,Front-wheel Drive,Gasoline,162,"6727 Loisdale Rd Springfield, VA 22150",2023-05-12
46,USED,2022,FORD,MAVERICK,XL,29742,Oxford White,Black Onyx,Front-wheel Drive,Gasoline,170,"6727 Loisdale Rd Springfield, VA 22150",2023-05-12
